Review,Rating,text_clean,text_casefoldingText,text_slangwords,text_tokenizingText,text_stopword,text_akhir,Label
"sinyal berat, udah pake wifi, pake data seluler masih aja tiba"" ngelag parah, udah menang tinggal ke beranda tiba"" loading trus kalah karena jaringan buruk, perbaiki lagi untuk sinyalnya",1,sinyal berat udah pake wifi pake data seluler masih aja tiba ngelag parah udah menang tinggal ke beranda tiba loading trus kalah karena jaringan buruk perbaiki lagi untuk sinyalnya,sinyal berat udah pake wifi pake data seluler masih aja tiba ngelag parah udah menang tinggal ke beranda tiba loading trus kalah karena jaringan buruk perbaiki lagi untuk sinyalnya,koneksi berat sudah pakai wifi pakai data seluler masih saja tiba lambat parah sudah menang tinggal ke beranda tiba loading trus kalah karena jaringan buruk perbaiki lagi untuk sinyalnya,"['koneksi', 'berat', 'sudah', 'pakai', 'wifi', 'pakai', 'data', 'seluler', 'masih', 'saja', 'tiba', 'lambat', 'parah', 'sudah', 'menang', 'tinggal', 'ke', 'beranda', 'tiba', 'loading', 'trus', 'kalah', 'karena', 'jaringan', 'buruk', 'perbaiki', 'lagi', 'untuk', 'sinyalnya']","['koneksi', 'berat', 'pakai', 'wifi', 'pakai', 'data', 'seluler', 'lambat', 'parah', 'menang', 'tinggal', 'beranda', 'loading', 'trus', 'kalah', 'jaringan', 'buruk', 'perbaiki', 'sinyalnya']",koneksi berat pakai wifi pakai data seluler lambat parah menang tinggal beranda loading trus kalah jaringan buruk perbaiki sinyalnya,negative
GAME GAJELAS,1,GAME GAJELAS,game gajelas,game gajelas,"['game', 'gajelas']","['game', 'gajelas']",game gajelas,positive
kasih bintang 3 dulu soalnya kalau main sama teman sudah pasti ngelek ngelek padahal jaringan lancar,3,kasih bintang  dulu soalnya kalau main sama teman sudah pasti ngelek ngelek padahal jaringan lancar,kasih bintang  dulu soalnya kalau main sama teman sudah pasti ngelek ngelek padahal jaringan lancar,kasih bintang dulu soalnya kalau main sama teman sudah pasti ngelek ngelek padahal jaringan lancar,"['kasih', 'bintang', 'dulu', 'soalnya', 'kalau', 'main', 'sama', 'teman', 'sudah', 'pasti', 'ngelek', 'ngelek', 'padahal', 'jaringan', 'lancar']","['kasih', 'bintang', 'main', 'teman', 'ngelek', 'ngelek', 'jaringan', 'lancar']",kasih bintang main teman ngelek ngelek jaringan lancar,positive
Game Mantap,5,Game Mantap,game mantap,game mantap,"['game', 'mantap']","['game', 'mantap']",game mantap,positive
game kontoll minta verifikasi doang gabisa bisa kontoll,1,game kontoll minta verifikasi doang gabisa bisa kontoll,game kontoll minta verifikasi doang gabisa bisa kontoll,game kontoll minta verifikasi doang gabisa bisa kontoll,"['game', 'kontoll', 'minta', 'verifikasi', 'doang', 'gabisa', 'bisa', 'kontoll']","['game', 'kontoll', 'verifikasi', 'doang', 'gabisa', 'kontoll']",game kontoll verifikasi doang gabisa kontoll,positive
saran saya kembalikan saja lisensi bayern agar lebih seru dan mengapa skema bertahan diperjelek sedangkan skema kontrol lain nya di ubah saran saya adalah kembalikan skema kontrol bertahan pes 2025 yang lalu menurut saya itu lebih efekti dan mudah mohon untuk para developer jangan lah kalian persulit kami dan untuk pemain yang tidak ada kontrak seperti ronaldo dan lain-lain itu juga dapat kalian tambah kan di efootball tanpa kalian tampilkan di banner kalian seperti ibrahimovic tolong baca ini,3,saran saya kembalikan saja lisensi bayern agar lebih seru dan mengapa skema bertahan diperjelek sedangkan skema kontrol lain nya di ubah saran saya adalah kembalikan skema kontrol bertahan pes  yang lalu menurut saya itu lebih efekti dan mudah mohon untuk para developer jangan lah kalian persulit kami dan untuk pemain yang tidak ada kontrak seperti ronaldo dan lainlain itu juga dapat kalian tambah kan di efootball tanpa kalian tampilkan di banner kalian seperti ibrahimovic tolong baca ini,saran saya kembalikan saja lisensi bayern agar lebih seru dan mengapa skema bertahan diperjelek sedangkan skema kontrol lain nya di ubah saran saya adalah kembalikan skema kontrol bertahan pes  yang lalu menurut saya itu lebih efekti dan mudah mohon untuk para developer jangan lah kalian persulit kami dan untuk pemain yang tidak ada kontrak seperti ronaldo dan lainlain itu juga dapat kalian tambah kan di efootball tanpa kalian tampilkan di banner kalian seperti ibrahimovic tolong baca ini,saran saya kembalikan saja lisensi bayern agar lebih seru dan mengapa skema bertahan diperjelek sedangkan skema kontrol lain nya di ubah saran saya adalah kembalikan skema kontrol bertahan pes yang lalu menurut saya itu lebih efekti dan mudah mohon untuk para developer jangan lah kalian persulit kami dan untuk pemain yang tidak ada kontrak seperti ronaldo dan lainlain itu juga dapat kalian tambah kan di efootball tanpa kalian tampilkan di banner kalian seperti ibrahimovic tolong baca ini,"['saran', 'saya', 'kembalikan', 'saja', 'lisensi', 'bayern', 'agar', 'lebih', 'seru', 'dan', 'mengapa', 'skema', 'bertahan', 'diperjelek', 'sedangkan', 'skema', 'kontrol', 'lain', 'nya', 'di', 'ubah', 'saran', 'saya', 'adalah', 'kembalikan', 'skema', 'kontrol', 'bertahan', 'pes', 'yang', 'lalu', 'menurut', 'saya', 'itu', 'lebih', 'efekti', 'dan', 'mudah', 'mohon', 'untuk', 'para', 'developer', 'jangan', 'lah', 'kalian', 'persulit', 'kami', 'dan', 'untuk', 'pemain', 'yang', 'tidak', 'ada', 'kontrak', 'seperti', 'ronaldo', 'dan', 'lainlain', 'itu', 'juga', 'dapat', 'kalian', 'tambah', 'kan', 'di', 'efootball', 'tanpa', 'kalian', 'tampilkan', 'di', 'banner', 'kalian', 'seperti', 'ibrahimovic', 'tolong', 'baca', 'ini']","['saran', 'kembalikan', 'lisensi', 'bayern', 'seru', 'skema', 'bertahan', 'diperjelek', 'skema', 'kontrol', 'ubah', 'saran', 'kembalikan', 'skema', 'kontrol', 'bertahan', 'pes', 'efekti', 'mudah', 'mohon', 'developer', 'persulit', 'pemain', 'kontrak', 'ronaldo', 'lainlain', 'efootball', 'tampilkan', 'banner', 'ibrahimovic', 'tolong', 'baca']",saran kembalikan lisensi bayern seru skema bertahan diperjelek skema kontrol ubah saran kembalikan skema kontrol bertahan pes efekti mudah mohon developer persulit pemain kontrak ronaldo lainlain efootball tampilkan banner ibrahimovic tolong baca,positive
kalo bisa ada momen pemain pada saat pergantian pemain dan list nama pencetak gol di hasil akhir papan score,5,kalo bisa ada momen pemain pada saat pergantian pemain dan list nama pencetak gol di hasil akhir papan score,kalo bisa ada momen pemain pada saat pergantian pemain dan list nama pencetak gol di hasil akhir papan score,kalau bisa ada momen pemain pada saat pergantian pemain dan list nama pencetak gol di hasil akhir papan score,"['kalau', 'bisa', 'ada', 'momen', 'pemain', 'pada', 'saat', 'pergantian', 'pemain', 'dan', 'list', 'nama', 'pencetak', 'gol', 'di', 'hasil', 'akhir', 'papan', 'score']","['momen', 'pemain', 'pergantian', 'pemain', 'list', 'nama', 'pencetak', 'gol', 'hasil', 'papan', 'score']",momen pemain pergantian pemain list nama pencetak gol hasil papan score,neutral
GAME KIKIR,1,GAME KIKIR,game kikir,game kikir,"['game', 'kikir']","['game', 'kikir']",game kikir,positive
di updet malah gk bisa sekarang,1,di updet malah gk bisa sekarang,di updet malah gk bisa sekarang,di updet bahkan gk bisa sekarang,"['di', 'updet', 'bahkan', 'gk', 'bisa', 'sekarang']","['updet', 'gk']",updet gk,neutral
Mana update liga Indonesia? Tim Indonesia cuma 1? Ngapain cuma Malaysia? Developer jangan pilih²,3,Mana update liga Indonesia Tim Indonesia cuma  Ngapain cuma Malaysia Developer jangan pilih²,mana update liga indonesia tim indonesia cuma  ngapain cuma malaysia developer jangan pilih²,mana update liga indonesia tim indonesia cuma sedang apa cuma malaysia developer jangan pilih²,"['mana', 'update', 'liga', 'indonesia', 'tim', 'indonesia', 'cuma', 'sedang', 'apa', 'cuma', 'malaysia', 'developer', 'jangan', 'pilih²']","['update', 'liga', 'indonesia', 'tim', 'indonesia', 'malaysia', 'developer', 'pilih²']",update liga indonesia tim indonesia malaysia developer pilih²,negative
mantapp game paling seruu🤩,5,mantapp game paling seruu,mantapp game paling seruu,mantapp game paling seruu,"['mantapp', 'game', 'paling', 'seruu']","['mantapp', 'game', 'seruu']",mantapp game seruu,positive
bagus tapi tidak ada liga super Indonesia,3,bagus tapi tidak ada liga super Indonesia,bagus tapi tidak ada liga super indonesia,bagus tapi tidak ada liga super indonesia,"['bagus', 'tapi', 'tidak', 'ada', 'liga', 'super', 'indonesia']","['bagus', 'liga', 'super', 'indonesia']",bagus liga super indonesia,negative
Kapan ada mod license resmi?,5,Kapan ada mod license resmi,kapan ada mod license resmi,kapan ada mod license resmi,"['kapan', 'ada', 'mod', 'license', 'resmi']","['mod', 'license', 'resmi']",mod license resmi,positive
"setelah update gameplay lemot,aneh rasanya. selalu lag,padahal sinyal wifi bagus",1,setelah update gameplay lemotaneh rasanya selalu lagpadahal sinyal wifi bagus,setelah update gameplay lemotaneh rasanya selalu lagpadahal sinyal wifi bagus,setelah update gameplay lemotaneh rasanya selalu lagpadahal koneksi wifi bagus,"['setelah', 'update', 'gameplay', 'lemotaneh', 'rasanya', 'selalu', 'lagpadahal', 'koneksi', 'wifi', 'bagus']","['update', 'gameplay', 'lemotaneh', 'lagpadahal', 'koneksi', 'wifi', 'bagus']",update gameplay lemotaneh lagpadahal koneksi wifi bagus,negative
peIit amat ngasih pemain....,1,peIit amat ngasih pemain,peiit amat ngasih pemain,peiit amat memberikan pemain,"['peiit', 'amat', 'memberikan', 'pemain']","['peiit', 'pemain']",peiit pemain,negative
"Wah ... Kayaknya lebih seru nih,saya coba dulu nih apakah sesuai harapan down load besarnya 😁",5,Wah  Kayaknya lebih seru nihsaya coba dulu nih apakah sesuai harapan down load besarnya,wah  kayaknya lebih seru nihsaya coba dulu nih apakah sesuai harapan down load besarnya,wah kayaknya lebih seru nihsaya coba dulu ini apakah sesuai harapan down load besarnya,"['wah', 'kayaknya', 'lebih', 'seru', 'nihsaya', 'coba', 'dulu', 'ini', 'apakah', 'sesuai', 'harapan', 'down', 'load', 'besarnya']","['kayaknya', 'seru', 'nihsaya', 'coba', 'sesuai', 'harapan', 'load', 'besarnya']",kayaknya seru nihsaya coba sesuai harapan load besarnya,positive
njir tiba tiba update data y gede bngett,3,njir tiba tiba update data y gede bngett,njir tiba tiba update data y gede bngett,njir tiba tiba update data ya gede bngett,"['njir', 'tiba', 'tiba', 'update', 'data', 'ya', 'gede', 'bngett']","['njir', 'update', 'data', 'gede', 'bngett']",njir update data gede bngett,negative
Next BRI Super League Indonesia 😁,5,Next BRI Super League Indonesia,next bri super league indonesia,lanjut bri super league indonesia,"['lanjut', 'bri', 'super', 'league', 'indonesia']","['bri', 'super', 'league', 'indonesia']",bri super league indonesia,positive
"tolong untuk game nya di perbaiki lagi, untuk pemain"" di up grade lagi",5,tolong untuk game nya di perbaiki lagi untuk pemain di up grade lagi,tolong untuk game nya di perbaiki lagi untuk pemain di up grade lagi,tolong untuk game nya di perbaiki lagi untuk pemain di up grade lagi,"['tolong', 'untuk', 'game', 'nya', 'di', 'perbaiki', 'lagi', 'untuk', 'pemain', 'di', 'up', 'grade', 'lagi']","['tolong', 'game', 'perbaiki', 'pemain', 'grade']",tolong game perbaiki pemain grade,neutral
tolong dong komentatornya yang bahasa Indonesia enak kayak nya di update lagi dong,5,tolong dong komentatornya yang bahasa Indonesia enak kayak nya di update lagi dong,tolong dong komentatornya yang bahasa indonesia enak kayak nya di update lagi dong,tolong dong komentatornya yang bahasa indonesia enak kayak nya di update lagi dong,"['tolong', 'dong', 'komentatornya', 'yang', 'bahasa', 'indonesia', 'enak', 'kayak', 'nya', 'di', 'update', 'lagi', 'dong']","['tolong', 'komentatornya', 'bahasa', 'indonesia', 'enak', 'kayak', 'update']",tolong komentatornya bahasa indonesia enak kayak update,negative
gw udah update 3 kali gagal mulu padahal penyimpanan masih 159 gb,2,gw udah update  kali gagal mulu padahal penyimpanan masih  gb,gw udah update  kali gagal mulu padahal penyimpanan masih  gb,saya sudah update kali gagal melulu padahal penyimpanan masih gb,"['saya', 'sudah', 'update', 'kali', 'gagal', 'melulu', 'padahal', 'penyimpanan', 'masih', 'gb']","['update', 'kali', 'gagal', 'melulu', 'penyimpanan', 'gb']",update kali gagal melulu penyimpanan gb,negative
"game khusus orang berduit buanget gila ga abis pikir modal jago ga bagus main ini game, yg menang cuma rating besar dari tadi main ketemu lawan rating"" besar Mulu heran gada kasih lawan yg rating setara",1,game khusus orang berduit buanget gila ga abis pikir modal jago ga bagus main ini game yg menang cuma rating besar dari tadi main ketemu lawan rating besar Mulu heran gada kasih lawan yg rating setara,game khusus orang berduit buanget gila ga abis pikir modal jago ga bagus main ini game yg menang cuma rating besar dari tadi main ketemu lawan rating besar mulu heran gada kasih lawan yg rating setara,game khusus orang berduit buanget gila ga habis pikir modal jago ga bagus main ini game yang menang cuma rating besar dari tadi main ketemu lawan rating besar melulu heran gada kasih lawan yang rating setara,"['game', 'khusus', 'orang', 'berduit', 'buanget', 'gila', 'ga', 'habis', 'pikir', 'modal', 'jago', 'ga', 'bagus', 'main', 'ini', 'game', 'yang', 'menang', 'cuma', 'rating', 'besar', 'dari', 'tadi', 'main', 'ketemu', 'lawan', 'rating', 'besar', 'melulu', 'heran', 'gada', 'kasih', 'lawan', 'yang', 'rating', 'setara']","['game', 'khusus', 'orang', 'berduit', 'buanget', 'gila', 'habis', 'pikir', 'modal', 'jago', 'bagus', 'main', 'game', 'menang', 'rating', 'main', 'ketemu', 'lawan', 'rating', 'melulu', 'heran', 'gada', 'kasih', 'lawan', 'rating', 'setara']",game khusus orang berduit buanget gila habis pikir modal jago bagus main game menang rating main ketemu lawan rating melulu heran gada kasih lawan rating setara,neutral
game gajelas,2,game gajelas,game gajelas,game gajelas,"['game', 'gajelas']","['game', 'gajelas']",game gajelas,positive
game football terbaik,5,game football terbaik,game football terbaik,game football terbaik,"['game', 'football', 'terbaik']","['game', 'football', 'terbaik']",game football terbaik,positive
game nya mantab tapi sayank nya kurang master liga,5,game nya mantab tapi sayank nya kurang master liga,game nya mantab tapi sayank nya kurang master liga,game nya mantab tapi sayank nya kurang master liga,"['game', 'nya', 'mantab', 'tapi', 'sayank', 'nya', 'kurang', 'master', 'liga']","['game', 'mantab', 'sayank', 'master', 'liga']",game mantab sayank master liga,positive
kok habis pembaruan tidak bisa di akses buka,4,kok habis pembaruan tidak bisa di akses buka,kok habis pembaruan tidak bisa di akses buka,kok habis pembaruan tidak bisa di akses buka,"['kok', 'habis', 'pembaruan', 'tidak', 'bisa', 'di', 'akses', 'buka']","['habis', 'pembaruan', 'akses', 'buka']",habis pembaruan akses buka,positive
"Game ini sebenarnya sudah sangat bagus, mulai dari grafik, pemain, sampai stadion terasa realistis dan enak dimainkan. Namun saat bermain PvP sering terasa lag, seperti pemain jadi berat bergerak atau responnya lambat. Saya belum tahu apakah ini karena koneksi atau sistem game. Semoga Konami bisa memperbaikinya. Selain itu, saya harap ke depannya ada Liga Indonesia karena pasti akan menambah minat pemain. Terima kasih.",3,Game ini sebenarnya sudah sangat bagus mulai dari grafik pemain sampai stadion terasa realistis dan enak dimainkan Namun saat bermain PvP sering terasa lag seperti pemain jadi berat bergerak atau responnya lambat Saya belum tahu apakah ini karena koneksi atau sistem game Semoga Konami bisa memperbaikinya Selain itu saya harap ke depannya ada Liga Indonesia karena pasti akan menambah minat pemain Terima kasih,game ini sebenarnya sudah sangat bagus mulai dari grafik pemain sampai stadion terasa realistis dan enak dimainkan namun saat bermain pvp sering terasa lag seperti pemain jadi berat bergerak atau responnya lambat saya belum tahu apakah ini karena koneksi atau sistem game semoga konami bisa memperbaikinya selain itu saya harap ke depannya ada liga indonesia karena pasti akan menambah minat pemain terima kasih,game ini sebenarnya sudah sangat bagus mulai dari grafik pemain sampai stadion terasa realistis dan enak dimainkan namun saat bermain pvp sering terasa lambat seperti pemain jadi berat bergerak atau responnya lambat saya belum tahu apakah ini karena koneksi atau sistem game semoga konami bisa memperbaikinya selain itu saya harap ke depannya ada liga indonesia karena pasti akan menambah minat pemain terima kasih,"['game', 'ini', 'sebenarnya', 'sudah', 'sangat', 'bagus', 'mulai', 'dari', 'grafik', 'pemain', 'sampai', 'stadion', 'terasa', 'realistis', 'dan', 'enak', 'dimainkan', 'namun', 'saat', 'bermain', 'pvp', 'sering', 'terasa', 'lambat', 'seperti', 'pemain', 'jadi', 'berat', 'bergerak', 'atau', 'responnya', 'lambat', 'saya', 'belum', 'tahu', 'apakah', 'ini', 'karena', 'koneksi', 'atau', 'sistem', 'game', 'semoga', 'konami', 'bisa', 'memperbaikinya', 'selain', 'itu', 'saya', 'harap', 'ke', 'depannya', 'ada', 'liga', 'indonesia', 'karena', 'pasti', 'akan', 'menambah', 'minat', 'pemain', 'terima', 'kasih']","['game', 'bagus', 'grafik', 'pemain', 'stadion', 'realistis', 'enak', 'dimainkan', 'bermain', 'pvp', 'lambat', 'pemain', 'berat', 'bergerak', 'responnya', 'lambat', 'koneksi', 'sistem', 'game', 'semoga', 'konami', 'memperbaikinya', 'harap', 'depannya', 'liga', 'indonesia', 'menambah', 'minat', 'pemain', 'terima', 'kasih']",game bagus grafik pemain stadion realistis enak dimainkan bermain pvp lambat pemain berat bergerak responnya lambat koneksi sistem game semoga konami memperbaikinya harap depannya liga indonesia menambah minat pemain terima kasih,positive
Inginnya sih ada liga 1 Indonesia,5,Inginnya sih ada liga  Indonesia,inginnya sih ada liga  indonesia,inginnya sih ada liga indonesia,"['inginnya', 'sih', 'ada', 'liga', 'indonesia']","['inginnya', 'liga', 'indonesia']",inginnya liga indonesia,neutral
"update 2,4G... sdh sampai 88% malah ngulang dari 0% lagi. nunggu lama data terkuras",1,update G sdh sampai  malah ngulang dari  lagi nunggu lama data terkuras,update g sdh sampai  malah ngulang dari  lagi nunggu lama data terkuras,update g sdh sampai bahkan ngulang dari lagi nunggu lama data terkuras,"['update', 'g', 'sdh', 'sampai', 'bahkan', 'ngulang', 'dari', 'lagi', 'nunggu', 'lama', 'data', 'terkuras']","['update', 'g', 'sdh', 'ngulang', 'nunggu', 'data', 'terkuras']",update g sdh ngulang nunggu data terkuras,negative
ini gimana habis update malah gak bisa main cuma tulisan pengunduhan selesai gitu terus gak bisa login,1,ini gimana habis update malah gak bisa main cuma tulisan pengunduhan selesai gitu terus gak bisa login,ini gimana habis update malah gak bisa main cuma tulisan pengunduhan selesai gitu terus gak bisa login,ini bagaimana habis update bahkan gak bisa main cuma tulisan pengunduhan selesai gitu terus gak bisa login,"['ini', 'bagaimana', 'habis', 'update', 'bahkan', 'gak', 'bisa', 'main', 'cuma', 'tulisan', 'pengunduhan', 'selesai', 'gitu', 'terus', 'gak', 'bisa', 'login']","['habis', 'update', 'main', 'tulisan', 'pengunduhan', 'selesai', 'gitu', 'login']",habis update main tulisan pengunduhan selesai gitu login,negative
kenapa akun efootbl ngk bisa di login terus di minta ungunduhan selesai tolong jelaskan dong,5,kenapa akun efootbl ngk bisa di login terus di minta ungunduhan selesai tolong jelaskan dong,kenapa akun efootbl ngk bisa di login terus di minta ungunduhan selesai tolong jelaskan dong,kenapa profil efootbl ngk bisa di login terus di minta ungunduhan selesai tolong jelaskan dong,"['kenapa', 'profil', 'efootbl', 'ngk', 'bisa', 'di', 'login', 'terus', 'di', 'minta', 'ungunduhan', 'selesai', 'tolong', 'jelaskan', 'dong']","['profil', 'efootbl', 'ngk', 'login', 'ungunduhan', 'selesai', 'tolong']",profil efootbl ngk login ungunduhan selesai tolong,negative
"GAME NAJIS PELIT BGT SAMA PLAYER, UDAH MAIN DARI JAMAN BLACK BALL, SEKARANG UPDATE SAMPE BER GB GB, DAPET SPIN SMPAS SEMUAA NAJIS GAME PELIT!",1,GAME NAJIS PELIT BGT SAMA PLAYER UDAH MAIN DARI JAMAN BLACK BALL SEKARANG UPDATE SAMPE BER GB GB DAPET SPIN SMPAS SEMUAA NAJIS GAME PELIT,game najis pelit bgt sama player udah main dari jaman black ball sekarang update sampe ber gb gb dapet spin smpas semuaa najis game pelit,game najis pelit banget sama player sudah main dari jaman black ball sekarang update sampai ber gb gb dapat spin smpas semuaa najis game pelit,"['game', 'najis', 'pelit', 'banget', 'sama', 'player', 'sudah', 'main', 'dari', 'jaman', 'black', 'ball', 'sekarang', 'update', 'sampai', 'ber', 'gb', 'gb', 'dapat', 'spin', 'smpas', 'semuaa', 'najis', 'game', 'pelit']","['game', 'najis', 'pelit', 'banget', 'player', 'main', 'jaman', 'black', 'ball', 'update', 'ber', 'gb', 'gb', 'spin', 'smpas', 'semuaa', 'najis', 'game', 'pelit']",game najis pelit banget player main jaman black ball update ber gb gb spin smpas semuaa najis game pelit,negative
Game taii...Ngelag Mulu kalo main p2p mau pakai data mau pakai wifi sama aja. Konami LOL,1,Game taiiNgelag Mulu kalo main pp mau pakai data mau pakai wifi sama aja Konami LOL,game taiingelag mulu kalo main pp mau pakai data mau pakai wifi sama aja konami lol,game taiingelag melulu kalau main pulang pergi mau pakai data mau pakai wifi sama saja konami tertawa,"['game', 'taiingelag', 'melulu', 'kalau', 'main', 'pulang', 'pergi', 'mau', 'pakai', 'data', 'mau', 'pakai', 'wifi', 'sama', 'saja', 'konami', 'tertawa']","['game', 'taiingelag', 'melulu', 'main', 'pulang', 'pergi', 'pakai', 'data', 'pakai', 'wifi', 'konami', 'tertawa']",game taiingelag melulu main pulang pergi pakai data pakai wifi konami tertawa,negative
gas trus🔥🔥,5,gas trus,gas trus,gas trus,"['gas', 'trus']","['gas', 'trus']",gas trus,negative
update 2gb malah sampe 9gb apa apaan ampasss,1,update gb malah sampe gb apa apaan ampasss,update gb malah sampe gb apa apaan ampasss,update gb bahkan sampai gb apa apa ampasss,"['update', 'gb', 'bahkan', 'sampai', 'gb', 'apa', 'apa', 'ampasss']","['update', 'gb', 'gb', 'ampasss']",update gb gb ampasss,neutral
ok bagus dan bermain,5,ok bagus dan bermain,ok bagus dan bermain,ok bagus dan bermain,"['ok', 'bagus', 'dan', 'bermain']","['ok', 'bagus', 'bermain']",ok bagus bermain,positive
game kontoll kikirr,1,game kontoll kikirr,game kontoll kikirr,game kontoll kikirr,"['game', 'kontoll', 'kikirr']","['game', 'kontoll', 'kikirr']",game kontoll kikirr,positive
"permainan bagus, tolong di tambah list nama pencetak gol di akhir laga dan wasit tolong di beri wajah baru",5,permainan bagus tolong di tambah list nama pencetak gol di akhir laga dan wasit tolong di beri wajah baru,permainan bagus tolong di tambah list nama pencetak gol di akhir laga dan wasit tolong di beri wajah baru,permainan bagus tolong di tambah list nama pencetak gol di akhir laga dan wasit tolong di beri wajah baru,"['permainan', 'bagus', 'tolong', 'di', 'tambah', 'list', 'nama', 'pencetak', 'gol', 'di', 'akhir', 'laga', 'dan', 'wasit', 'tolong', 'di', 'beri', 'wajah', 'baru']","['permainan', 'bagus', 'tolong', 'list', 'nama', 'pencetak', 'gol', 'laga', 'wasit', 'tolong', 'wajah']",permainan bagus tolong list nama pencetak gol laga wasit tolong wajah,neutral
cukup bagus lah,5,cukup bagus lah,cukup bagus lah,cukup bagus lah,"['cukup', 'bagus', 'lah']",['bagus'],bagus,negative
Semakin kesini semakin gede makan memori nya ini game jaringan nya juga sering banget lag parah,3,Semakin kesini semakin gede makan memori nya ini game jaringan nya juga sering banget lag parah,semakin kesini semakin gede makan memori nya ini game jaringan nya juga sering banget lag parah,semakin kesini semakin gede makan memori nya ini game jaringan nya juga sering banget lambat parah,"['semakin', 'kesini', 'semakin', 'gede', 'makan', 'memori', 'nya', 'ini', 'game', 'jaringan', 'nya', 'juga', 'sering', 'banget', 'lambat', 'parah']","['kesini', 'gede', 'makan', 'memori', 'game', 'jaringan', 'banget', 'lambat', 'parah']",kesini gede makan memori game jaringan banget lambat parah,negative
"tolong adakan sistem champion league di liga offline, soalnya kalo buat seru²an bosen di liga doang",4,tolong adakan sistem champion league di liga offline soalnya kalo buat seru²an bosen di liga doang,tolong adakan sistem champion league di liga offline soalnya kalo buat seru²an bosen di liga doang,tolong adakan sistem champion league di liga offline soalnya kalau buat seru²an bosen di liga doang,"['tolong', 'adakan', 'sistem', 'champion', 'league', 'di', 'liga', 'offline', 'soalnya', 'kalau', 'buat', 'seru²an', 'bosen', 'di', 'liga', 'doang']","['tolong', 'adakan', 'sistem', 'champion', 'league', 'liga', 'offline', 'seru²an', 'bosen', 'liga', 'doang']",tolong adakan sistem champion league liga offline seru²an bosen liga doang,negative
"For now, the gameplay is perfect, pressuring is not spamable, Defenders react more naturally, and dribbles we're able to excecute more easily, but if there's any other new changes, it might not end well.",4,For now the gameplay is perfect pressuring is not spamable Defenders react more naturally and dribbles were able to excecute more easily but if theres any other new changes it might not end well,for now the gameplay is perfect pressuring is not spamable defenders react more naturally and dribbles were able to excecute more easily but if theres any other new changes it might not end well,for now the gameplay is perfect pressuring is not spamable defenders react more naturally and dribbles were able to excecute more easily but if theres any other new changes it might not end well,"['for', 'now', 'the', 'gameplay', 'is', 'perfect', 'pressuring', 'is', 'not', 'spamable', 'defenders', 'react', 'more', 'naturally', 'and', 'dribbles', 'were', 'able', 'to', 'excecute', 'more', 'easily', 'but', 'if', 'theres', 'any', 'other', 'new', 'changes', 'it', 'might', 'not', 'end', 'well']","['gameplay', 'perfect', 'pressuring', 'spamable', 'defenders', 'react', 'naturally', 'dribbles', 'able', 'excecute', 'easily', 'theres', 'new', 'changes', 'might', 'end', 'well']",gameplay perfect pressuring spamable defenders react naturally dribbles able excecute easily theres new changes might end well,neutral
"good game bro , damn",5,good game bro  damn,good game bro  damn,good game saudara laki-laki damn,"['good', 'game', 'saudara', 'laki-laki', 'damn']","['good', 'game', 'saudara', 'laki-laki', 'damn']",good game saudara laki-laki damn,positive
harus banget ada script biar pemain frustrasi?,5,harus banget ada script biar pemain frustrasi,harus banget ada script biar pemain frustrasi,harus banget ada script biar pemain frustrasi,"['harus', 'banget', 'ada', 'script', 'biar', 'pemain', 'frustrasi']","['banget', 'script', 'biar', 'pemain', 'frustrasi']",banget script biar pemain frustrasi,negative
ini kenapa habis update belum bisa login,4,ini kenapa habis update belum bisa login,ini kenapa habis update belum bisa login,ini kenapa habis update belum bisa login,"['ini', 'kenapa', 'habis', 'update', 'belum', 'bisa', 'login']","['habis', 'update', 'login']",habis update login,neutral
"kadang kadang berat,tapi cukup bagus",4,kadang kadang berattapi cukup bagus,kadang kadang berattapi cukup bagus,kadang kadang berattapi cukup bagus,"['kadang', 'kadang', 'berattapi', 'cukup', 'bagus']","['kadang', 'kadang', 'berattapi', 'bagus']",kadang kadang berattapi bagus,positive
apasi dari magrib update belum selesai selesai,1,apasi dari magrib update belum selesai selesai,apasi dari magrib update belum selesai selesai,apasi dari magrib update belum selesai selesai,"['apasi', 'dari', 'magrib', 'update', 'belum', 'selesai', 'selesai']","['apasi', 'magrib', 'update', 'selesai', 'selesai']",apasi magrib update selesai selesai,negative
"masa update lama bener, apa emang masih berat ya kasih epic gratis di Millions download. dasar pelit nggk kaya game sebelah",3,masa update lama bener apa emang masih berat ya kasih epic gratis di Millions download dasar pelit nggk kaya game sebelah,masa update lama bener apa emang masih berat ya kasih epic gratis di millions download dasar pelit nggk kaya game sebelah,masa update lama benar apa emang masih berat iya kasih epic gratis di millions download dasar pelit nggk kaya game sebelah,"['masa', 'update', 'lama', 'benar', 'apa', 'emang', 'masih', 'berat', 'iya', 'kasih', 'epic', 'gratis', 'di', 'millions', 'download', 'dasar', 'pelit', 'nggk', 'kaya', 'game', 'sebelah']","['update', 'emang', 'berat', 'kasih', 'epic', 'gratis', 'millions', 'download', 'dasar', 'pelit', 'nggk', 'kaya', 'game', 'sebelah']",update emang berat kasih epic gratis millions download dasar pelit nggk kaya game sebelah,positive
bagus banget nih gem,5,bagus banget nih gem,bagus banget nih gem,bagus banget ini gem,"['bagus', 'banget', 'ini', 'gem']","['bagus', 'banget', 'gem']",bagus banget gem,negative
